line_00 is....
Akron City SD|13121

Hillsboro City SD|1.2939831104855735
Huron City SD|1.3474786931818181
Ironton City SD|1.0893545683151717
Jackson City SD|1.4568275265094135
Kent City SD|1.1745644599303136
Kenton City SD|0.5735979131730948
Kettering City SD|0.524324915272767
Lakewood City SD|0.7939704082767828
Lancaster City SD|0.3910949645150389
Lebanon City SD|1.014629280727031
Lima City SD|1.0926532096744863
Lockland City SD|1.1333213708953884
Logan-Hocking Local SD|1.0259696834596523
London City SD|1.0021551724137931
Lorain City SD|1.144386797659786
Loveland City SD|0.8962330097087379
Madeira City SD|1.2794679966749791
Mansfield City SD|1.3377762188705717
Maple Heights City SD|1.210505158783331
Mariemont City SD|1.318014705882353
Marietta City SD|1.261126176423672
Marion City SD|1.2027972027972027
Martins Ferry City SD|1.091867205339891
Massillon City SD|0.6646207401978746
Maumee City SD|0.4165468774956077
Mayfield City SD|0.6253873806867485
Medina City SD|0.5284673074891729
Miamisburg City SD|0.9270639693821761
Middletown City SD|1.117720545838939
Mount Healthy City SD|1.1131510676511673
Mount Vernon City SD|1.149486301369863
Napoleon City SD|1.0446026594073918
Nelsonville-York City SD|1.1845815547794594
Newark City SD|1.255461592670895
New Boston Local SD|1.2615268329554044
New Lexington City SD|1.2617263843648208
New Philadelphia City SD|1.2060897435897435
Niles City SD|1.3516429622363904
North Canton City SD|1.2665880767935331
North College Hill City SD|1.280274656679151
North Olmsted City SD|1.2848920863309352
North Ridgeville City SD|1.2845566103264645
North Royalton City SD|0.6136126866535478
Norton City SD|0.6604460628129267
Norwalk City SD|0.5218614718614719
Norwood City SD|0.6811221758218224
Oakwood City SD|1.1879281935651722
Oberlin City SD|1.0645010516475812
Oregon City SD|1.1840558820268323
Orrville City SD|1.1502875065342395
Painsville City Local SD|1.194431625903707
Parma City SD|1.2199780461031833
Piqua City SD|1.1474019088016967
Port Clinton City SD|1.0472786684366384
Portsmouth City SD|1.237396639103761
Princeton City SD|1.280203045685279
Ravenna City SD|1.1840917880623953
Reading Community City SD|1.2843932280552
Rocky River City SD|1.3776458951533135
St Bernard-Elmwood Place Cit|1.387331081081081
St Marys City SD|1.2195391705069125
Salem City SD|0.816762103071317
Sandusky City SD|0.381139489194499
Shaker Heights City SD|0.6415885052883656
Sheffield-Sheffield Lake Cit|0.7961206896551725
Shelby City SD|1.139156841729189
Sidney City SD|1.0115346858638743
South Euclid-Lyndhurst City|1.2786605384110308
South-Western City SD|1.0161943319838056
Springfield City SD|1.210409861974502
Steubenville City SD|1.1723150727329
Stow-Munroe Falls City SD|1.0084393200998454
Strongsville City SD|1.1567632527707303
Struthers City SD|1.417616580310881
Sycamore Community City SD|1.1683268047006155
Sylvania City SD|1.2136297728371195
Tallmadge City SD|1.410102437301307
Tiffin City SD|1.236236802413273
Toledo City SD|1.2429009193054137
Toronto City SD|0.7422744771615857
Troy City SD|0.4907895874772983
Upper Arlington City SD|0.9064184223419892
Urbana City SD|0.4021594438692501
Vandalia-Butler City SD|1.0116731517509727
Van Wert City SD|1.0184417737256528
Wadsworth City SD|1.0963165430170507
Wapakoneta City SD|1.2513202565069785
Warren City SD|1.22156916347731
Warrensville Heights City SD|1.1963834596463236
